rumor_summary,rumor_keywords,rumor_publishTime,rumor_editor,rumor_sourceText,split_keywords
,"真相,设计,屈绍辉,李洪,统筹,提示,策划,详情,误区,董晓",2025-02-21 16:35:01,李亚琼,中国互联网联合辟谣平台,"['真相', '设计', '屈绍辉', '李洪', '统筹', '提示', '策划', '详情', '误区', '董晓']"
2025年2月20日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-20 17:22:52,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,"详情,屈绍辉,李洪,统筹,提示,谣言,编辑,策划,董晓,科普",2025-02-19 16:59:00,吴炎,中国互联网联合辟谣平台,"['详情', '屈绍辉', '李洪', '统筹', '提示', '谣言', '编辑', '策划', '董晓', '科普']"
2025年2月18日谣言：真相：误区：真相：关注：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,编辑,策划,董晓,晶莹,详情",2025-02-18 17:09:00,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '编辑', '策划', '董晓', '晶莹', '详情']"
,,2025-02-17 17:46:48,霍晶莹,中国互联网联合辟谣平台,['']
2025年2月6日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：周文婧 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-14 15:36:58,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
2025年2月13日谣言：真相：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-13 19:19:15,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-12 16:06:03,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,,2025-02-11 17:33:29,周文婧,中国互联网联合辟谣平台,['']
,"真相,谣言,详情,屈绍辉,李洪,统筹,编辑,策划,董晓,科普",2025-02-10 17:19:39,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '详情', '屈绍辉', '李洪', '统筹', '编辑', '策划', '董晓', '科普']"
,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-08 17:47:17,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
详情：提示：山东临沂公布2024年网络辟谣十大典型案例详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,辟谣,屈绍辉,提示,发生,策划,晶莹,科普,库车,烟花",2025-02-07 18:32:18,闫丹丹,中国互联网联合辟谣平台,"['详情', '辟谣', '屈绍辉', '提示', '发生', '策划', '晶莹', '科普', '库车', '烟花']"
,,2025-02-06 16:00:09,霍晶莹,中国互联网联合辟谣平台,['']
,,2025-02-05 16:00:37,霍晶莹,中国互联网联合辟谣平台,['']
2025年1月27日辟谣：详情：谣言：真相：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：周文婧 设计：肖丽丽 尹路。,"真相,详情,屈绍辉,李洪,统筹,提示,编辑,策划,误区,董晓",2025-01-27 16:01:10,贾玉韬,中国互联网联合辟谣平台,"['真相', '详情', '屈绍辉', '李洪', '统筹', '提示', '编辑', '策划', '误区', '董晓']"
,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-01-26 16:23:33,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
春节将至，诈骗分子常以“新年福利”“新年红包”等噱头拉人进群实施“刷单”诈骗。,"诈骗,地震,米饭,受害者,皮山县,网民,红包,即食,来源,防腐剂",2025-01-24 17:35:43,霍晶莹,中国互联网联合辟谣平台,"['诈骗', '地震', '米饭', '受害者', '皮山县', '网民', '红包', '即食', '来源', '防腐剂']"
2025年1月23日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-01-23 16:32:21,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,"真相,谣言,详情,屈绍辉,李洪,统筹,编辑,策划,董晓,科普",2025-01-22 13:00:01,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '详情', '屈绍辉', '李洪', '统筹', '编辑', '策划', '董晓', '科普']"
2025年1月21日谣言：真相：科普：详情：通报：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,李洪,统筹,谣言,编辑,策划,董晓,晶莹,科普",2025-01-21 17:11:12,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '李洪', '统筹', '谣言', '编辑', '策划', '董晓', '晶莹', '科普']"
,,2025-01-20 17:47:31,周文婧,中国互联网联合辟谣平台,['']
2025年1月17日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：周文婧 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-01-17 16:58:25,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
2025年1月16日谣言：真相：科普：冬季冻肉解冻注意这些风险和误区详情：通报：河南公布4起典型谣言案例详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"谣言,详情,屈绍辉,李洪,冬季,统筹,丽丽,误区,公布,科普",2025-01-16 17:13:03,贾玉韬,中国互联网联合辟谣平台,"['谣言', '详情', '屈绍辉', '李洪', '冬季', '统筹', '丽丽', '误区', '公布', '科普']"
,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-01-15 16:04:45,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,,2025-01-14 15:53:02,周文婧,中国互联网联合辟谣平台,['']
2025年1月13日辟谣：详情：谣言：真相：科普：详情：通报：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：董晋 设计：肖丽丽 尹路。,"详情,屈绍辉,李洪,统筹,真相,谣言,编辑,策划,董晓,科普",2025-01-13 17:46:24,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '李洪', '统筹', '真相', '谣言', '编辑', '策划', '董晓', '科普']"
,,2025-01-10 17:22:52,闫丹丹,中国互联网联合辟谣平台,['']
,"真相,谣言,屈绍辉,晶莹,误区",2025-01-09 14:48:50,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '晶莹', '误区']"
,,2025-01-08 16:27:41,霍晶莹,中国互联网联合辟谣平台,['']
,,2025-01-07 17:35:52,霍晶莹,中国互联网联合辟谣平台,['']
2025年1月6日辟谣：详情：谣言：真相：科普：泡脚有好处，但不适于这四类人详情：关注：网信部门严厉打击整治网络水军问题详情：　统筹：屈绍辉 策划：李洪雷 董晓 编辑：周文婧 设计：肖丽丽 尹路。,"详情,严厉打击,屈绍辉,好处,水军",2025-01-06 17:49:27,贾玉韬,中国互联网联合辟谣平台,"['详情', '严厉打击', '屈绍辉', '好处', '水军']"
,"真相,屈绍辉,策划,详情,李洪",2025-01-03 15:47:57,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,,2025-01-02 17:17:27,周文婧,中国互联网联合辟谣平台,['']
2024年12月31日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李亚,详情,李洪",2024-12-31 16:33:23,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李亚', '详情', '李洪']"
,"真相,屈绍辉,误区,详情,统筹",2024-12-30 15:58:31,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '误区', '详情', '统筹']"
,,2024-12-27 16:08:16,霍晶莹,中国互联网联合辟谣平台,['']
,,2024-12-26 17:03:16,霍晶莹,中国互联网联合辟谣平台,['']
2024年12月25日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-12-25 16:50:14,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
2024年12月24日谣言：真相：谣言：真相：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：周文婧 设计：肖丽丽 尹路。,"真相,谣言,屈绍辉,策划,李洪",2024-12-24 17:02:33,贾玉韬,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '策划', '李洪']"
,"真相,屈绍辉,策划,详情,李洪",2024-12-23 16:29:40,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,,2024-12-20 16:30:27,周文婧,中国互联网联合辟谣平台,['']
,"真相,屈绍辉,策划,详情,李洪",2024-12-19 16:47:56,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,"真相,谣言,屈绍辉,误区,统筹",2024-12-18 16:55:20,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '误区', '统筹']"
2024年12月17日谣言：新疆特克斯县要停暖三天。,"真相,屈绍辉,特克斯县,误区,尹路",2024-12-17 16:48:35,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '特克斯县', '误区', '尹路']"
,,2024-12-16 16:28:22,霍晶莹,中国互联网联合辟谣平台,['']
2024年12月13日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-12-13 16:21:17,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
真相：误区：突发心梗，用力拍打胸口可疏通血栓。,"真相,屈绍辉,诈骗,详情,抢票",2024-12-12 16:45:32,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '诈骗', '详情', '抢票']"
,"真相,屈绍辉,策划,详情,统筹",2024-12-11 16:36:47,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '统筹']"
,,2024-12-10 16:10:47,周文婧,中国互联网联合辟谣平台,['']
2024年12月9日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李亚,详情,李洪",2024-12-09 17:07:41,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李亚', '详情', '李洪']"
,"真相,屈绍辉,策划,详情,李洪",2024-12-06 18:03:06,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
这些人员易被境外间谍情报机关“众包邀约”详情：近年来，国家安全机关工作发现，境外间谍情报机关利用众包模式对我开展窃密活动，手法尤为隐蔽，需引起警惕。,"情报,人员,信息,机关,间谍",2024-12-05 18:12:47,董晋,中国互联网联合辟谣平台,"['情报', '人员', '信息', '机关', '间谍']"
,,2024-12-04 17:12:56,霍晶莹,中国互联网联合辟谣平台,['']
2024年12月3日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-12-03 15:35:46,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
2024年12月2日谣言：加购武汉马拉松文创礼盒可提高中签率。,"通报,谣言,详情,真相,说清楚",2024-12-02 17:02:43,贾玉韬,中国互联网联合辟谣平台,"['通报', '谣言', '详情', '真相', '说清楚']"
2024年11月29日谣言：详情：科普：真相：通报：编造“重庆南岸火灾致多人死亡”谣言，多名网民被行政处罚。,"谣言,详情,行政处罚,致多人,屈绍辉",2024-11-29 18:13:47,董晋,中国互联网联合辟谣平台,"['谣言', '详情', '行政处罚', '致多人', '屈绍辉']"
,,2024-11-28 16:30:16,周文婧,中国互联网联合辟谣平台,['']
2024年11月27日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：芮静 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-11-27 17:06:23,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,"详情,屈绍辉,通知,策划,开展",2024-11-26 18:15:04,吴炎,中国互联网联合辟谣平台,"['详情', '屈绍辉', '通知', '策划', '开展']"
,"真相,屈绍辉,晶莹,策划,李洪",2024-11-25 17:13:33,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '晶莹', '策划', '李洪']"
,,2024-11-22 17:01:58,霍晶莹,中国互联网联合辟谣平台,['']
2024年11月21日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-11-21 15:19:22,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
2024年11月20日辟谣：详情：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：芮静 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,策划,李洪",2024-11-20 17:37:46,贾玉韬,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '策划', '李洪']"
,,2024-11-19 16:30:23,李亚琼,中国互联网联合辟谣平台,['']
2024年11月18日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：贾玉韬 设计：肖丽丽 尹路。,"真相,屈绍辉,误区,详情,统筹",2024-11-18 15:29:41,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '误区', '详情', '统筹']"
,,2024-11-15 16:23:47,闫丹丹,中国互联网联合辟谣平台,['']
,"详情,屈绍辉,策划,科普,统筹",2024-11-14 19:21:51,吴炎,中国互联网联合辟谣平台,"['详情', '屈绍辉', '策划', '科普', '统筹']"
2024年11月13日谣言：一站式代评职称、免试包过。,"真相,一站式,屈绍辉,详情,晶莹",2024-11-13 17:18:14,董晋,中国互联网联合辟谣平台,"['真相', '一站式', '屈绍辉', '详情', '晶莹']"
,,2024-11-12 17:10:29,霍晶莹,中国互联网联合辟谣平台,['']
,,2024-11-11 17:22:35,周文婧,中国互联网联合辟谣平台,['']
2024年11月8日辟谣：成都市卫生健康委郑重声明详情：误区：今日立冬，御寒保暖别做错。,"详情,成都市,屈绍辉,做错,郑重",2024-11-08 17:14:38,贾玉韬,中国互联网联合辟谣平台,"['详情', '成都市', '屈绍辉', '做错', '郑重']"
2024年11月7日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-11-07 18:45:57,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,,2024-11-06 18:10:26,周文婧,中国互联网联合辟谣平台,['']
2024年11月5日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李亚,详情,李洪",2024-11-05 18:08:25,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李亚', '详情', '李洪']"
,"真相,谣言,屈绍辉,误区,统筹",2024-11-04 17:23:31,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '误区', '统筹']"
2024年11月1日辟谣：详情：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,李洪",2024-11-01 18:18:29,霍晶莹,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '李洪']"
,,2024-10-31 17:04:38,董晋,中国互联网联合辟谣平台,['']
2024年10月30日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-10-30 15:49:24,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
详情：提示：有民族资产需要解冻。,"详情,屈绍辉,提示,策划,科普",2024-10-29 17:12:20,贾玉韬,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '策划', '科普']"
,"真相,屈绍辉,策划,详情,李洪",2024-10-28 17:29:38,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,,2024-10-25 17:07:46,周文婧,中国互联网联合辟谣平台,['']
2024年10月14日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：董晋 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-10-24 16:50:39,闫丹丹,中国互联网联合辟谣,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,"详情,真相,屈绍辉,误区,统筹",2024-10-23 18:11:03,吴炎,中国互联网联合辟谣平台,"['详情', '真相', '屈绍辉', '误区', '统筹']"
2024年10月22日谣言：真相：误区：真相：提示：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,晶莹,策划,李洪",2024-10-22 17:59:56,霍晶莹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '晶莹', '策划', '李洪']"
,,2024-10-21 18:04:21,霍晶莹,中国互联网联合辟谣平台,['']
2024年10月18日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-10-18 16:56:13,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
2024年10月17日辟谣：湖南省长沙市市场监管局、教育局严正声明详情：误区：口服维生素C可以给皮肤美白。,"详情,教育局,屈绍辉,湖南省长沙市,监管局",2024-10-17 17:59:52,贾玉韬,中国互联网联合辟谣平台,"['详情', '教育局', '屈绍辉', '湖南省长沙市', '监管局']"
,"真相,屈绍辉,策划,详情,李洪",2024-10-16 16:42:48,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
,,2024-10-15 17:11:29,周文婧,中国互联网联合辟谣平台,['']
2024年10月14日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-10-14 16:44:15,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
2024年10月11日谣言：真相：误区：真相：通报：详情：统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,晶莹,策划,李洪",2024-10-11 17:46:52,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '晶莹', '策划', '李洪']"
,,2024-10-10 17:44:37,董晋,中国互联网联合辟谣平台,['']
2024年10月9日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,策划,详情,李洪",2024-10-09 16:39:20,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '策划', '详情', '李洪']"
真相：误区：鸡蛋过敏的人不能接种流感疫苗。,"提示,真相,国庆假期,检察院,屈绍辉",2024-10-08 17:46:29,贾玉韬,中国互联网联合辟谣平台,"['提示', '真相', '国庆假期', '检察院', '屈绍辉']"
,,2024-09-30 16:49:26,吴炎,中国互联网联合辟谣平台,['']
,,2024-09-29 16:55:21,周文婧,中国互联网联合辟谣平台,['']
2024年9月27日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-09-27 16:32:09,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,"真相,屈绍辉,提示,详情,误区",2024-09-26 16:31:40,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年9月25日谣言：真相：科普：详情：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,科普",2024-09-25 18:31:27,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '科普']"
,,2024-09-24 15:36:58,霍晶莹,中国互联网联合辟谣平台,['']
2024年9月23日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-23 15:30:03,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年9月20日谣言：上海有人因台风被吹落高坠。,"详情,室内外,屈绍辉,科普,国家",2024-09-20 16:43:56,贾玉韬,中国互联网联合辟谣平台,"['详情', '室内外', '屈绍辉', '科普', '国家']"
2024年9月19日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,晶莹,详情",2024-09-19 17:07:15,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '晶莹', '详情']"
,,2024-09-18 15:42:07,周文婧,中国互联网联合辟谣平台,['']
2024年9月14日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-14 16:04:34,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"真相,屈绍辉,提示,设计,误区",2024-09-13 17:04:41,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
,"真相,屈绍辉,提示,详情,误区",2024-09-12 17:34:31,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年9月11日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：董晋 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-11 17:31:12,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：误区：乳牙早晚要换成恒牙，所以不用治。,"真相,屈绍辉,监制,北京,详情",2024-09-10 16:04:46,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '监制', '北京', '详情']"
真相：提示：2024年8月全国受理网络违法和不良信息举报1983.3万件详情：监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"详情,真相,睡不着,强买强卖,屈绍辉",2024-09-09 17:26:07,贾玉韬,中国互联网联合辟谣平台,"['详情', '真相', '睡不着', '强买强卖', '屈绍辉']"
2024年9月6日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-06 16:37:48,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-09-05 17:37:15,周文婧,中国互联网联合辟谣平台,['']
2024年5月6日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-09-04 16:23:24,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
